date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:22	36777/36777	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:22%20GMT	http://jessicapphotography.com/english/newsblog	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/48/english/newsblog.html	(from http://jessicapphotography.com/english/)
13:19:23	17678/17678	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:22%20GMT	http://jessicapphotography.com/english/contactform	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/fc/english/contactform.html	(from http://jessicapphotography.com/english/)
13:19:23	18159/18159	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:23%20GMT	http://jessicapphotography.com/english/berlinlove	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/0c/english/berlinlove.html	(from http://jessicapphotography.com/english/)
13:19:24	17799/17799	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:24%20GMT	http://jessicapphotography.com/english/mamalove	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/06/english/mamalove.html	(from http://jessicapphotography.com/english/)
13:19:26	17684/17684	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:24%20GMT	http://jessicapphotography.com/english/foodlove	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/b8/english/foodlove.html	(from http://jessicapphotography.com/english/)
13:19:28	17972/17972	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:25%20GMT	http://jessicapphotography.com/english/shoplove	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/39/english/shoplove.html	(from http://jessicapphotography.com/english/)
13:19:29	18554/18554	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:29%20GMT	http://jessicapphotography.com/english/photolove	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/70/english/photolove.html	(from http://jessicapphotography.com/english/)
13:19:30	16740/16740	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:29%20GMT	http://jessicapphotography.com/english/more-favourites	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/97/english/more-favourites.html	(from http://jessicapphotography.com/english/)
13:19:31	14273/14273	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:30%20GMT	http://jessicapphotography.com/english/legal-notice	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/c4/english/legal-notice.html	(from http://jessicapphotography.com/english/)
13:19:32	25355/25355	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:31%20GMT	http://jessicapphotography.com/deutsch/haftungsausschluss/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/89/deutsch/haftungsausschluss/index.html	(from http://jessicapphotography.com/deutsch/impressum/)
